"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"A framework test that only passed on a rerun must not disappear into
    ""All of them passed"" — that sentence would then be true only in a
    technicality, the same gap the product-side flaky wording already closes.
    The sentence must also not read as if the storefront itself flaked.","2","test_a_flaky_framework_test_is_named_not_absorbed_into_all_passed","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_showcase_build","",""
"Without this, a loose reading of the files would pass by finding nothing.","0","test_every_case_count_the_project_states_is_checked","tests.unit","Wed Sep 23 07:54:42 UTC 2026","passed","Wed Sep 23 07:54:42 UTC 2026","","test_showcase_figures","",""
"The publish step may copy artefacts in before or after this runs.","1","test_an_artefact_already_in_place_is_used_and_left_alone","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_showcase_build","",""
"","0","test_a_source_states_the_number_of_cases_pytest_collects[cover.html-End-to-end]","tests.unit","Wed Sep 23 07:54:41 UTC 2026","passed","Wed Sep 23 07:54:41 UTC 2026","","test_showcase_figures","",""
"","0","test_a_rerun_is_one_test_not_two","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_showcase_build","",""
"","1130","Changing the quantity in the cart recalculates the total","tests.ui","Wed Sep 23 07:54:30 UTC 2026","passed","Wed Sep 23 07:54:31 UTC 2026","","test_cart","",""
"","453","A product card opens a detail page with matching name and price","tests.ui","Wed Sep 23 07:54:34 UTC 2026","passed","Wed Sep 23 07:54:34 UTC 2026","","test_catalog","",""
"10 KiB is the floor, written the same way `find -size +10240c` writes it.","1","test_a_truncated_recording_is_not_published","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_showcase_build","",""
"","0","test_a_status_nobody_planned_for_stops_the_build","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_showcase_build","",""
"","447","A message exactly at the minimum is accepted","tests.ui","Wed Sep 23 07:54:37 UTC 2026","passed","Wed Sep 23 07:54:37 UTC 2026","","test_contact_form","",""
"","0","test_a_picture_loads_with_the_page_instead_of_after_it[showcase/images/ci-run.png]","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_readme_pictures","",""
"","251","test_a_source_states_the_number_of_cases_pytest_collects[architecture.svg-tests/ui]","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:41 UTC 2026","","test_showcase_figures","",""
"","19","Pagination returns distinct pages","tests.api","Wed Sep 23 07:54:24 UTC 2026","passed","Wed Sep 23 07:54:24 UTC 2026","","test_products_api","",""
"","362","A malformed address is rejected: plainaddress","tests.ui","Wed Sep 23 07:54:35 UTC 2026","passed","Wed Sep 23 07:54:35 UTC 2026","","test_contact_form","",""
"","1487","A guest order can be placed end to end","tests.e2e","Wed Sep 23 07:54:26 UTC 2026","passed","Wed Sep 23 07:54:28 UTC 2026","","test_guest_checkout","",""
"`_pick_video` must agree with `scripts/publish-showcase.sh`, which has
    no fallback: a recording that is neither preferred name is not the guest
    purchase flow, and publishing it under that caption would be wrong.","2","test_an_unrelated_recording_is_not_captioned_as_the_purchase_flow","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_showcase_build","",""
"","9","A price filter returns only products inside the range","tests.api","Wed Sep 23 07:54:24 UTC 2026","passed","Wed Sep 23 07:54:24 UTC 2026","","test_products_api","",""
"","354","A malformed address is rejected: missing-at.example.com","tests.ui","Wed Sep 23 07:54:35 UTC 2026","passed","Wed Sep 23 07:54:36 UTC 2026","","test_contact_form","",""
"","237","test_a_source_states_the_number_of_cases_pytest_collects[architecture.svg-tests/e2e]","tests.unit","Wed Sep 23 07:54:41 UTC 2026","passed","Wed Sep 23 07:54:41 UTC 2026","","test_showcase_figures","",""
"A reader on a screen reader, or on a slow connection, gets the alt text.","0","test_a_picture_says_what_it_shows[allure-report-screenshot.png]","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_readme_pictures","",""
"","0","test_a_source_states_the_number_of_cases_pytest_collects[README.md-UI]","tests.unit","Wed Sep 23 07:54:42 UTC 2026","passed","Wed Sep 23 07:54:42 UTC 2026","","test_showcase_figures","",""
"","1","test_a_failing_framework_test_is_stated_on_the_page","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_showcase_build","",""
"","1","test_a_source_states_the_number_of_cases_pytest_collects[cover.html-API]","tests.unit","Wed Sep 23 07:54:41 UTC 2026","passed","Wed Sep 23 07:54:41 UTC 2026","","test_showcase_figures","",""
"","2","test_no_placeholder_survives_the_build","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_showcase_build","",""
"","0","test_attempts_group_by_name_and_parameters_when_there_is_no_history_id","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_showcase_build","",""
"","6","A query with no matches returns an empty result, not an error","tests.api","Wed Sep 23 07:54:24 UTC 2026","passed","Wed Sep 23 07:54:24 UTC 2026","","test_search_api","",""
"","0","test_a_screenshot_is_a_png_wide_enough_to_read[allure-report-screenshot.png]","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_readme_pictures","",""
"","2","test_a_recording_that_exists_is_published_beside_the_page","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_showcase_build","",""
"","0","test_a_case_at_two_layers_stops_the_build_instead_of_picking_one","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_showcase_build","",""
"A case under tests/api, tests/ui or tests/e2e that forgot its marker
    must not quietly become a framework check: nothing else would catch it.","0","test_a_product_test_with_no_layer_marker_stops_the_build_too","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_showcase_build","",""
"","0","test_counts_the_smoke_set","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_showcase_build","",""
"","1","test_a_value_cannot_close_an_attribute_and_open_a_script","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_showcase_build","",""
"","267","test_a_source_states_the_number_of_cases_pytest_collects[ci-pipeline.svg-browser suite]","tests.unit","Wed Sep 23 07:54:41 UTC 2026","passed","Wed Sep 23 07:54:41 UTC 2026","","test_showcase_figures","",""
"","1","test_diagrams_that_exist_are_published_beside_the_page","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_showcase_build","",""
"","1042","The line total follows the quantity chosen on the product page","tests.ui","Wed Sep 23 07:54:29 UTC 2026","passed","Wed Sep 23 07:54:30 UTC 2026","","test_cart","",""
"","2","test_the_headline_does_not_grow_when_the_framework_gains_tests","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_showcase_build","",""
"","0","test_a_picture_loads_with_the_page_instead_of_after_it[allure-report-screenshot.png]","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_readme_pictures","",""
"They are counted from the same files, so they need the same grouping.","1","test_the_smoke_set_and_the_layers_count_a_rerun_once","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_showcase_build","",""
"","2","test_a_clean_framework_run_is_stated_as_such","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_showcase_build","",""
"","467","A complete form posts the values the user entered","tests.ui","Wed Sep 23 07:54:38 UTC 2026","passed","Wed Sep 23 07:54:38 UTC 2026","","test_contact_form","",""
"The grouping must not swallow a parametrised case into its sibling.","1","test_two_parameters_of_one_test_stay_two_tests","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_showcase_build","",""
"","1","test_counts_by_status","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_showcase_build","",""
"","0","test_tests_without_a_layer_are_counted_apart_from_the_product","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_showcase_build","",""
"","0","test_a_screenshot_is_a_png_wide_enough_to_read[showcase/images/ci-run.png]","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_readme_pictures","",""
"","0","test_a_source_states_the_number_of_cases_pytest_collects[README.md-N automated cases]","tests.unit","Wed Sep 23 07:54:42 UTC 2026","passed","Wed Sep 23 07:54:42 UTC 2026","","test_showcase_figures","",""
"","1","test_a_missing_recording_is_said_in_words_not_shown_as_a_black_box","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_showcase_build","",""
"","1","test_the_failure_categories_reach_the_results_directory","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_report_inputs","",""
"","2","test_a_run_of_nothing_but_product_tests_says_nothing_about_plumbing","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_showcase_build","",""
"","0","test_a_picture_the_readme_shows_is_committed[allure-report-screenshot.png]","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_readme_pictures","",""
"Only the product directories are suspect; tests/unit has no layer at all.","0","test_an_unmarked_unit_test_is_still_ordinary_framework","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_showcase_build","",""
"Without this, dropping a line from PICTURES would quietly check nothing.","0","test_every_picture_in_the_readme_is_pinned_here","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_readme_pictures","",""
"","0","test_a_picture_loads_with_the_page_instead_of_after_it[showcase/assets/architecture.svg]","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_readme_pictures","",""
"","16","A single product can be fetched by the id from the listing","tests.api","Wed Sep 23 07:54:24 UTC 2026","passed","Wed Sep 23 07:54:24 UTC 2026","","test_products_api","",""
"","2","test_a_skipped_result_is_counted_and_said_on_the_page","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_showcase_build","",""
"","310","Submitting an empty form reports every required field","tests.ui","Wed Sep 23 07:54:34 UTC 2026","passed","Wed Sep 23 07:54:35 UTC 2026","","test_contact_form","",""
"","436","Sorting by price low to high orders the grid ascending","tests.ui","Wed Sep 23 07:54:33 UTC 2026","passed","Wed Sep 23 07:54:33 UTC 2026","","test_catalog","",""
"","6","An unknown product id is rejected, not answered with a body","tests.api","Wed Sep 23 07:54:24 UTC 2026","passed","Wed Sep 23 07:54:24 UTC 2026","","test_products_api","",""
"","0","test_a_source_states_the_number_of_cases_pytest_collects[README.md-API]","tests.unit","Wed Sep 23 07:54:42 UTC 2026","passed","Wed Sep 23 07:54:42 UTC 2026","","test_showcase_figures","",""
"","0","test_a_source_states_the_number_of_cases_pytest_collects[cover.html-UI]","tests.unit","Wed Sep 23 07:54:41 UTC 2026","passed","Wed Sep 23 07:54:41 UTC 2026","","test_showcase_figures","",""
"","0","test_the_headline_figures_count_the_application_only","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_showcase_build","",""
"","0","test_the_environment_reaches_the_results_directory","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_report_inputs","",""
"","2","test_a_clean_run_says_nothing_about_flakes","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_showcase_build","",""
"","6","Search input is not reflected back as executable markup","tests.api","Wed Sep 23 07:54:24 UTC 2026","passed","Wed Sep 23 07:54:24 UTC 2026","","test_search_api","",""
"A reader who subtracts the figures must not find a gap.","2","test_what_the_page_shows_adds_up_to_what_it_says_ran","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_showcase_build","",""
"","357","A malformed address is rejected: no-domain@","tests.ui","Wed Sep 23 07:54:36 UTC 2026","passed","Wed Sep 23 07:54:36 UTC 2026","","test_contact_form","",""
"","992","A product added from the detail page appears in the cart","tests.ui","Wed Sep 23 07:54:28 UTC 2026","passed","Wed Sep 23 07:54:29 UTC 2026","","test_cart","",""
"","1","test_record_video_is_off_by_default","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_config","",""
"A reader on a screen reader, or on a slow connection, gets the alt text.","0","test_a_picture_says_what_it_shows[showcase/assets/architecture.svg]","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_readme_pictures","",""
"","366","A message one character below the minimum is rejected","tests.ui","Wed Sep 23 07:54:37 UTC 2026","passed","Wed Sep 23 07:54:37 UTC 2026","","test_contact_form","",""
"A reader on a screen reader, or on a slow connection, gets the alt text.","0","test_a_picture_says_what_it_shows[showcase/images/ci-run.png]","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_readme_pictures","",""
"","1","test_record_video_reads_the_environment[false-False]","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_config","",""
"","0","test_a_picture_the_readme_shows_is_committed[showcase/assets/architecture.svg]","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_readme_pictures","",""
"","1","test_record_video_reads_the_environment[true-True]","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_config","",""
"","368","The landing page renders a full page of products","tests.ui","Wed Sep 23 07:54:32 UTC 2026","passed","Wed Sep 23 07:54:33 UTC 2026","","test_catalog","",""
"","1","test_a_missing_run_url_leaves_no_empty_link","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_showcase_build","",""
"","0","test_counts_by_layer","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_showcase_build","",""
"","518","Searching a known term narrows the grid to matching products","tests.ui","Wed Sep 23 07:54:38 UTC 2026","passed","Wed Sep 23 07:54:39 UTC 2026","","test_search","",""
"","0","test_empty_results_are_an_error_not_a_zero","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_showcase_build","",""
"","1602","A guest can reach the payment step with the correct order total","tests.e2e","Wed Sep 23 07:54:25 UTC 2026","passed","Wed Sep 23 07:54:26 UTC 2026","","test_guest_checkout","",""
"","13","Brands are returned with a unique slug each","tests.api","Wed Sep 23 07:54:24 UTC 2026","passed","Wed Sep 23 07:54:24 UTC 2026","","test_catalog_api","",""
